names	celltype
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_262	2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_262	Neural_tube_2
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_101	Tailbud
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_101	10
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_101	PGCs
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_101	Mesoderm_heart
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_101	3
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_101	3
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_101	3
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_101	2
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_101	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_101	3
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_101	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_101	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_101	Mesoderm_heart
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_101	Endoderm_node
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_101	10
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_101	3
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_101	3
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_101	3
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_101	18
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_101	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_101	Endoderm_node
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_101	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_101	Mesoderm_heart
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_101	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_151	2
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_151	PGCs
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_151	0
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_151	Somite_wavefront
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_151	NeuralTube1
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_151	Tailbud
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_151	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_151	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_151	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_151	12
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_151	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_151	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_151	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_151	9
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_151	PGCs
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_151	0
