index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_312,34.279694,19.423891
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_225,45.244377,36.42527
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_288,31.83147,16.633171
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_382,16.137482,13.829088
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_66,37.437622,25.4257
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_279,32.865185,17.747889
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_57,17.159452,13.16283
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_384,30.105412,13.9457035
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_358,33.687866,18.93223
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_246,12.523156,16.842224
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_363,31.24226,15.476066
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_379,33.54128,18.616007
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_68,33.682816,19.041153
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_239,30.242687,14.133798
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_60,31.124083,15.126594
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_112,32.97383,17.732635
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_146,32.087933,16.365295
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_93,12.219424,17.092995
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_217,32.82015,17.36982
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_203,28.94572,9.679562
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_118,33.502804,18.806084
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_371,29.399256,13.06151
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_309,30.510414,14.17261
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_50,15.061929,14.737656
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_192,31.21454,15.261271
